Date,Predicted_Price
2026-01-21,27.155375132878625
2026-01-22,26.929860006120474
2026-01-23,26.90587799623278
2026-01-26,26.869012309816153
2026-01-27,26.858201749165854
2026-01-28,26.85000175221761
2026-01-29,26.85259174092611
2026-01-30,26.85259174092611
2026-02-02,26.85259174092611
2026-02-03,26.85259174092611
2026-02-04,26.85259174092611
2026-02-05,26.85259174092611
2026-02-06,26.85259174092611
2026-02-09,26.85259174092611
2026-02-10,26.85259174092611
2026-02-11,26.85259174092611
2026-02-12,26.85259174092611
2026-02-13,26.85259174092611
2026-02-16,26.819881741841638
2026-02-17,26.819881741841638
2026-02-18,26.819881741841638
2026-02-19,26.819881741841638
2026-02-20,26.819881741841638
2026-02-23,26.819881741841638
2026-02-24,26.819881741841638
2026-02-25,26.819881741841638
2026-02-26,26.819881741841638
2026-02-27,26.819881741841638
2026-03-02,26.819881741841638
2026-03-03,26.819881741841638
2026-03-04,26.819881741841638
2026-03-05,26.819881741841638
2026-03-06,26.819881741841638
2026-03-09,26.819881741841638
2026-03-10,26.819881741841638
2026-03-11,26.819881741841638
2026-03-12,26.819881741841638
2026-03-13,26.819881741841638
2026-03-16,26.825481755574547
2026-03-17,26.825481755574547
2026-03-18,26.825481755574547
2026-03-19,26.825481755574547
2026-03-20,26.825481755574547
2026-03-23,26.825481755574547
2026-03-24,26.825481755574547
2026-03-25,26.825481755574547
2026-03-26,26.825481755574547
2026-03-27,26.825481755574547
2026-03-30,26.825481755574547
2026-03-31,26.825481755574547
